date,time,user,source AP,destination AP
2019-09-05,20:10:15.015,82,0,10
2019-09-05,20:17:01.106,83,10,9
2019-09-05,20:20:07.012,73,7,10
2019-09-05,20:30:07.537,7,6,4
2019-09-05,20:40:25.422,6,8,2
2019-09-05,20:41:03.729,83,10,9
2019-09-05,20:41:09.865,50,4,7
2019-09-05,20:42:01.340,50,7,10
2019-09-05,20:42:10.952,50,10,0
2019-09-05,20:46:56.414,13,4,5
2019-09-05,20:47:20.805,13,5,1
2019-09-05,20:47:57.680,13,1,7
2019-09-05,20:48:04.676,154,1,9
2019-09-05,20:48:12.425,154,9,0
2019-09-05,21:00:45.195,7,6,4
2019-09-05,21:20:22.755,1,7,9
2019-09-05,21:20:55.614,1,9,4
2019-09-05,21:21:34.291,2,10,2
2019-09-05,21:21:53.489,2,2,4
2019-09-05,21:22:42.107,124,4,9
2019-09-05,21:22:56.590,82,10,7
2019-09-05,21:23:05.691,82,7,0
2019-09-05,21:23:12.302,76,9,7
2019-09-05,21:23:30.352,76,7,0
2019-09-05,21:23:40.121,74,9,7
2019-09-05,21:23:52.288,123,9,0
2019-09-05,21:23:58.866,126,10,0
2019-09-05,21:24:17.979,124,9,10
2019-09-05,21:24:24.540,124,10,5
2019-09-05,21:26:52.934,0,3,1
2019-09-05,21:28:04.641,62,10,3
2019-09-05,21:28:29.658,72,10,7
2019-09-05,21:28:40.052,73,10,0
2019-09-05,21:30:13.955,7,6,4
2019-09-05,21:31:12.463,62,3,10
2019-09-05,21:39:16.376,6,2,8
2019-09-05,21:51:42.834,43,1,0
2019-09-05,23:02:07.357,7,6,4
2019-09-05,23:31:43.697,1,4,7
2019-09-05,23:31:53.514,2,4,0
2019-09-05,23:32:02.656,1,7,0
2019-09-05,23:33:19.979,1,0,10
